Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	5146	797	3887
mitochondrial-Ath-AsnGTT-183766	1266	152	412
mitochondrial-Ath-AspGTC-171828	1302	499	1331
mitochondrial-Ath-CysGCA-171829	5015	1061	1122
mitochondrial-Ath-GlnTTG-171830	171	35	61
mitochondrial-Ath-GluTTC-171831	1927	408	1053
mitochondrial-Ath-GlyGCC-171832	1020	168	280
mitochondrial-Ath-HisGTG-171833	865	118	175
mitochondrial-Ath-IleCAT-171837	111	9	84
mitochondrial-Ath-LysTTT-171834	415	134	795
mitochondrial-Ath-ProTGG-171838	613	75	178
mitochondrial-Ath-SerGCT-171840	85	41	120
mitochondrial-Ath-SerGGA-171839	28	14	61
mitochondrial-Ath-SerTGA-171841	356	92	117
mitochondrial-Ath-TrpCCA-171842	48	9	23
mitochondrial-Ath-TyrGTA-171843	17	4	12
mitochondrial-Ath-TyrGTA-171844	414	115	502
mitochondrial-Ath-eMetCAT-171836	185	28	28
mitochondrial-Ath-iMetCAT-171835	98	7	47
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-309033	7	1	11
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	7	5	12
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	10541	6040	33592
nuclear-Ath-AlaAGC-171749	28337	17313	104872
nuclear-Ath-AlaAGC-183743	2852	1807	10627
nuclear-Ath-AlaCGC-171750	4990	2664	15037
nuclear-Ath-AlaCGC-171752	10756	5149	22909
nuclear-Ath-AlaCGC-183744	5537	3089	12802
nuclear-Ath-AlaTGC-171747	33586	20543	97930
nuclear-Ath-AlaTGC-171751	4448	2303	10326
nuclear-Ath-ArgACG-171679	883	381	500
nuclear-Ath-ArgACG-171680	4925	1853	1952
nuclear-Ath-ArgACG-171681	1959	1397	724
nuclear-Ath-ArgACG-171682	4336	2380	1757
nuclear-Ath-ArgACG-171683	2959	1172	1754
nuclear-Ath-ArgACG-171772	2997	1151	2455
nuclear-Ath-ArgCCG-171678	15114	5373	7398
nuclear-Ath-ArgCCG-171686	937	291	734
nuclear-Ath-ArgCCG-183763	570	211	396
nuclear-Ath-ArgCCT-171715	514	269	423
nuclear-Ath-ArgCCT-171716	7693	3671	5379
nuclear-Ath-ArgCCT-171719	2080	1185	2431
nuclear-Ath-ArgTCG-171676	10314	6264	7977
nuclear-Ath-ArgTCG-171677	12688	7395	8122
nuclear-Ath-ArgTCT-171693	2074	380	1659
nuclear-Ath-ArgTCT-171694	7580	1180	6722
nuclear-Ath-ArgTCT-171695	5169	761	3743
nuclear-Ath-ArgTCT-171696	1749	254	1299
nuclear-Ath-ArgTCT-171714	3593	586	1516
nuclear-Ath-ArgTCT-171717	1689	310	873
nuclear-Ath-ArgTCT-183731	0	0	0
nuclear-Ath-AsnGTT-171725	529	273	686
nuclear-Ath-AsnGTT-171727	11375	4826	14299
nuclear-Ath-AsnGTT-171729	8064	3125	8906
nuclear-Ath-AsnGTT-183736	1510	588	1386
nuclear-Ath-AsnGTT-183737	1	0	5
nuclear-Ath-AsnGTT-183738	3170	1382	3963
nuclear-Ath-AsnGTT-183739	1552	579	1508
nuclear-Ath-AspGTC-171804	45588	25792	22216
nuclear-Ath-AspGTC-183754	0	0	0
nuclear-Ath-AspGTC-183755	1	0	4
nuclear-Ath-AspGTC-183756	0	1	15
nuclear-Ath-AspGTC-183757	11	7	7
nuclear-Ath-CysGCA-171684	1136	115	174
nuclear-Ath-CysGCA-171742	191	62	95
nuclear-Ath-CysGCA-171756	468	113	155
nuclear-Ath-CysGCA-171757	142	39	34
nuclear-Ath-CysGCA-171758	2086	405	693
nuclear-Ath-CysGCA-171759	400	86	122
nuclear-Ath-CysGCA-171762	66	21	34
nuclear-Ath-CysGCA-183716	0	0	1
nuclear-Ath-CysGCA-183742	469	134	106
nuclear-Ath-CysGCA-183745	0	0	2
nuclear-Ath-GlnCTG-171763	1928	329	348
nuclear-Ath-GlnCTG-171765	650	101	127
nuclear-Ath-GlnCTG-171773	1914	312	366
nuclear-Ath-GlnCTG-171774	975	251	264
nuclear-Ath-GlnCTG-171775	20758	3654	4530
nuclear-Ath-GlnTTG-171777	13625	4633	5938
nuclear-Ath-GlnTTG-183749	3422	836	1148
nuclear-Ath-GluCTC-171821	3218	474	1156
nuclear-Ath-GluCTC-171824	8594	1452	3256
nuclear-Ath-GluCTC-171825	1329	205	488
nuclear-Ath-GluCTC-183765	3	0	15
nuclear-Ath-GluTTC-171820	19134	3326	6679
nuclear-Ath-GluTTC-171822	3532	441	990
nuclear-Ath-GluTTC-171826	681	86	293
nuclear-Ath-GluTTC-183764	713	142	373
nuclear-Ath-GlyCCC-171713	16594	5743	12234
nuclear-Ath-GlyGCC-171688	1376	323	742
nuclear-Ath-GlyGCC-171690	1559	392	1081
nuclear-Ath-GlyGCC-171691	48595	12491	34504
