Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	9366	1543	7114
mitochondrial-Ath-AsnGTT-183766	1547	196	632
mitochondrial-Ath-AspGTC-171828	2533	1211	2356
mitochondrial-Ath-CysGCA-171829	6259	1294	1382
mitochondrial-Ath-GlnTTG-171830	235	50	85
mitochondrial-Ath-GluTTC-171831	2703	893	1583
mitochondrial-Ath-GlyGCC-171832	1409	217	351
mitochondrial-Ath-HisGTG-171833	1111	157	215
mitochondrial-Ath-IleCAT-171837	133	19	84
mitochondrial-Ath-LysTTT-171834	494	208	965
mitochondrial-Ath-ProTGG-171838	911	140	236
mitochondrial-Ath-SerGCT-171840	135	63	123
mitochondrial-Ath-SerGGA-171839	70	31	63
mitochondrial-Ath-SerTGA-171841	468	122	161
mitochondrial-Ath-TrpCCA-171842	10917	2722	3200
mitochondrial-Ath-TyrGTA-171843	19	1	15
mitochondrial-Ath-TyrGTA-171844	538	140	654
mitochondrial-Ath-eMetCAT-171836	270	53	60
mitochondrial-Ath-iMetCAT-171835	115	28	64
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-309033	4	1	12
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	13	8	17
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	12365	7502	38177
nuclear-Ath-AlaAGC-171749	38296	25408	131202
nuclear-Ath-AlaAGC-183743	12149	8019	31491
nuclear-Ath-AlaCGC-171750	5875	3195	17541
nuclear-Ath-AlaCGC-171752	11363	5618	23797
nuclear-Ath-AlaCGC-183744	5993	3445	13739
nuclear-Ath-AlaTGC-171747	38808	25165	114972
nuclear-Ath-AlaTGC-171751	5537	3351	13630
nuclear-Ath-ArgACG-171679	1145	508	660
nuclear-Ath-ArgACG-171680	7122	2625	2536
