Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	136	6087	32939
mitochondrial-Ath-AsnGTT-183766	4610	1034	2282
mitochondrial-Ath-AspGTC-171828	427	391	1338
mitochondrial-Ath-CysGCA-171829	1896	2018	3239
mitochondrial-Ath-GlnTTG-171830	114	39	101
mitochondrial-Ath-GluTTC-171831	564	670	1897
mitochondrial-Ath-GlyGCC-171832	762	380	953
mitochondrial-Ath-HisGTG-171833	1139	703	1366
mitochondrial-Ath-IleCAT-171837	55	40	150
mitochondrial-Ath-LysTTT-171834	158	134	900
mitochondrial-Ath-ProTGG-171838	416	175	310
mitochondrial-Ath-SerGCT-171840	221	69	299
mitochondrial-Ath-SerGGA-171839	27	14	51
mitochondrial-Ath-SerTGA-171841	303	87	210
mitochondrial-Ath-TrpCCA-171842	36	26	78
mitochondrial-Ath-TyrGTA-171843	0	10	17
mitochondrial-Ath-TyrGTA-171844	279	142	861
mitochondrial-Ath-eMetCAT-171836	145	70	131
mitochondrial-Ath-iMetCAT-171835	114	32	100
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-309033	0	1	19
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	0	2	13
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	4839	6569	46210
nuclear-Ath-AlaAGC-171749	9332	14653	126083
nuclear-Ath-AlaAGC-183743	918	1490	13252
nuclear-Ath-AlaCGC-171750	2178	3132	29412
nuclear-Ath-AlaCGC-171752	4403	6558	52171
nuclear-Ath-AlaCGC-183744	1732	2676	17890
nuclear-Ath-AlaTGC-171747	12076	19638	160179
nuclear-Ath-AlaTGC-171751	1836	3296	23022
nuclear-Ath-ArgACG-171679	630	584	1536
nuclear-Ath-ArgACG-171680	3732	3293	8132
nuclear-Ath-ArgACG-171681	1917	1795	3338
nuclear-Ath-ArgACG-171682	4350	3753	7287
nuclear-Ath-ArgACG-171683	2188	2334	7367
nuclear-Ath-ArgACG-171772	1879	2416	7771
nuclear-Ath-ArgCCG-171678	12878	7805	14120
nuclear-Ath-ArgCCG-171686	398	358	1466
nuclear-Ath-ArgCCG-183763	262	264	543
nuclear-Ath-ArgCCT-171715	786	723	1503
nuclear-Ath-ArgCCT-171716	9020	8772	19752
nuclear-Ath-ArgCCT-171719	1793	2320	6670
nuclear-Ath-ArgTCG-171676	7902	9476	22446
nuclear-Ath-ArgTCG-171677	7015	8606	17739
nuclear-Ath-ArgTCT-171693	1191	752	4050
nuclear-Ath-ArgTCT-171694	4276	2451	16406
nuclear-Ath-ArgTCT-171695	3420	1812	10165
