Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	136	6087	32939
mitochondrial-Ath-AsnGTT-183766	4636	1041	2398
mitochondrial-Ath-AspGTC-171828	2138	1492	3858
mitochondrial-Ath-CysGCA-171829	1896	2018	3239
mitochondrial-Ath-GlnTTG-171830	114	39	101
mitochondrial-Ath-GluTTC-171831	564	670	1897
mitochondrial-Ath-GlyGCC-171832	762	380	953
mitochondrial-Ath-HisGTG-171833	1140	703	1366
mitochondrial-Ath-IleCAT-171837	55	40	150
mitochondrial-Ath-LysTTT-171834	158	134	900
mitochondrial-Ath-ProTGG-171838	416	175	310
mitochondrial-Ath-SerGCT-171840	221	69	299
mitochondrial-Ath-SerGGA-171839	33	15	54
mitochondrial-Ath-SerTGA-171841	303	87	210
mitochondrial-Ath-TrpCCA-171842	5687	4098	8875
mitochondrial-Ath-TyrGTA-171843	0	10	17
mitochondrial-Ath-TyrGTA-171844	279	142	861
mitochondrial-Ath-eMetCAT-171836	150	72	132
mitochondrial-Ath-iMetCAT-171835	114	32	100
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-309033	0	1	19
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	0	2	13
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	4845	6576	46320
nuclear-Ath-AlaAGC-171749	12977	20239	154402
nuclear-Ath-AlaAGC-183743	4565	6921	41207
nuclear-Ath-AlaCGC-171750	2345	3467	31760
nuclear-Ath-AlaCGC-171752	4489	6625	52412
nuclear-Ath-AlaCGC-183744	1815	2756	18115
nuclear-Ath-AlaTGC-171747	12243	19962	162606
nuclear-Ath-AlaTGC-171751	1836	3296	23048
nuclear-Ath-ArgACG-171679	631	585	1555
nuclear-Ath-ArgACG-171680	3736	3301	8149
nuclear-Ath-ArgACG-171681	1921	1797	3342
nuclear-Ath-ArgACG-171682	4351	3758	7299
nuclear-Ath-ArgACG-171683	2193	2338	7380
nuclear-Ath-ArgACG-171772	1886	2424	7781
nuclear-Ath-ArgCCG-171678	12878	7805	14121
nuclear-Ath-ArgCCG-171686	398	358	1466
nuclear-Ath-ArgCCG-183763	262	264	543
nuclear-Ath-ArgCCT-171715	786	723	1503
nuclear-Ath-ArgCCT-171716	9027	8778	19879
nuclear-Ath-ArgCCT-171719	1796	2324	6782
nuclear-Ath-ArgTCG-171676	7912	9486	22452
nuclear-Ath-ArgTCG-171677	7022	8615	17745
nuclear-Ath-ArgTCT-171693	1439	902	5068
nuclear-Ath-ArgTCT-171694	4535	2594	17445
nuclear-Ath-ArgTCT-171695	3495	1850	10349
nuclear-Ath-ArgTCT-171696	1097	625	3142
nuclear-Ath-ArgTCT-171714	2340	1213	3395
nuclear-Ath-ArgTCT-171717	1354	762	2511
nuclear-Ath-ArgTCT-183731	12	7	29
nuclear-Ath-AsnGTT-171725	478	434	1427
nuclear-Ath-AsnGTT-171727	5766	4781	17025
nuclear-Ath-AsnGTT-171729	6726	5709	21513
nuclear-Ath-AsnGTT-183736	1035	707	2055
nuclear-Ath-AsnGTT-183737	1	0	1
nuclear-Ath-AsnGTT-183738	1411	1273	4122
nuclear-Ath-AsnGTT-183739	1080	940	3498
nuclear-Ath-AspGTC-171804	47626	40076	75141
nuclear-Ath-AspGTC-183754	9	7	20
nuclear-Ath-AspGTC-183755	1	0	9
nuclear-Ath-AspGTC-183756	12	4	11417
nuclear-Ath-AspGTC-183757	15	9	288
nuclear-Ath-CysGCA-171684	611	434	677
nuclear-Ath-CysGCA-171742	165	153	262
nuclear-Ath-CysGCA-171756	311	226	701
nuclear-Ath-CysGCA-171757	155	116	222
nuclear-Ath-CysGCA-171758	1252	955	2245
nuclear-Ath-CysGCA-171759	331	218	381
nuclear-Ath-CysGCA-171762	79	62	145
nuclear-Ath-CysGCA-183716	0	0	39
nuclear-Ath-CysGCA-183742	474	361	522
nuclear-Ath-CysGCA-183745	80	45	73
nuclear-Ath-GlnCTG-171763	2072	1399	2564
nuclear-Ath-GlnCTG-171765	755	806	1439
nuclear-Ath-GlnCTG-171773	1346	1494	2619
nuclear-Ath-GlnCTG-171774	1043	1102	2010
nuclear-Ath-GlnCTG-171775	9410	9210	14380
nuclear-Ath-GlnTTG-171777	6147	10287	24196
nuclear-Ath-GlnTTG-183749	2411	3509	6490
nuclear-Ath-GluCTC-171821	2647	956	2283
nuclear-Ath-GluCTC-171824	6571	2361	6018
nuclear-Ath-GluCTC-171825	1034	362	870
nuclear-Ath-GluCTC-183765	56	14	66
nuclear-Ath-GluTTC-171820	11684	5891	15712
nuclear-Ath-GluTTC-171822	2040	879	2592
nuclear-Ath-GluTTC-171826	736	389	1053
nuclear-Ath-GluTTC-183764	517	277	1082
nuclear-Ath-GlyCCC-171713	10984	11213	35343
nuclear-Ath-GlyGCC-171688	1218	787	2644
nuclear-Ath-GlyGCC-171690	4448	2288	9100
nuclear-Ath-GlyGCC-171691	31187	20430	75572
nuclear-Ath-GlyGCC-171692	138	87	284
nuclear-Ath-GlyGCC-183730	10	26	82
nuclear-Ath-GlyTCC-171720	6881	9661	45944
nuclear-Ath-HisGTG-171768	2809	4017	14071
nuclear-Ath-HisGTG-171770	589	809	1952
nuclear-Ath-HisGTG-183747	1064	1372	3761
nuclear-Ath-HisGTG-183748	564	986	2637
nuclear-Ath-IleAAT-171735	9452	10157	55880
nuclear-Ath-IleAAT-171736	10482	12746	73408
nuclear-Ath-IleTAT-171721	434	495	1553
nuclear-Ath-IleTAT-171764	689	745	2711
nuclear-Ath-LeuAAG-171816	12662	10400	45964
nuclear-Ath-LeuAAG-171817	12493	10430	45510
nuclear-Ath-LeuCAA-171786	2641	2662	8885
nuclear-Ath-LeuCAA-171787	1869	1549	6208
nuclear-Ath-LeuCAA-171789	3331	2455	10861
nuclear-Ath-LeuCAA-171790	3141	2475	8895
nuclear-Ath-LeuCAA-183751	321	303	952
nuclear-Ath-LeuCAG-171781	4659	4082	14385
nuclear-Ath-LeuTAA-171698	2318	1973	6381
nuclear-Ath-LeuTAA-171699	2498	2139	7138
nuclear-Ath-LeuTAA-171791	1357	1822	3787
nuclear-Ath-LeuTAG-171673	6467	7980	48151
nuclear-Ath-LeuTAG-171675	7231	9367	46148
nuclear-Ath-LeuTAG-171685	5714	7178	39174
nuclear-Ath-LysCTT-171703	4172	3177	6312
nuclear-Ath-LysCTT-171704	39473	28137	46999
nuclear-Ath-LysCTT-183733	1252	860	1151
nuclear-Ath-LysTTT-171707	1799	984	1821
nuclear-Ath-LysTTT-171712	248	133	254
nuclear-Ath-LysTTT-183734	1746	810	1692
nuclear-Ath-LysTTT-183735	0	0	6
nuclear-Ath-PheGAA-171718	7065	8851	27876
nuclear-Ath-ProAGG-171737	5480	2321	7424
nuclear-Ath-ProAGG-171738	1397	497	1475
nuclear-Ath-ProAGG-171743	4229	1921	5101
nuclear-Ath-ProCGG-171739	34	10	88
nuclear-Ath-ProCGG-171760	1908	1161	7420
nuclear-Ath-ProCGG-171761	2820	1675	10416
nuclear-Ath-ProTGG-171741	3086	1640	7257
nuclear-Ath-ProTGG-171744	7472	4363	15626
nuclear-Ath-ProTGG-183741	15	7	224
nuclear-Ath-SerAGA-171812	683	972	11513
nuclear-Ath-SerAGA-171813	3100	3672	34879
nuclear-Ath-SerAGA-171814	5	8	65
nuclear-Ath-SerAGA-171815	62	66	356
nuclear-Ath-SerAGA-183750	933	760	1992
nuclear-Ath-SerAGA-183759	990	1120	9151
nuclear-Ath-SerAGA-183760	0	0	2
nuclear-Ath-SerAGA-183761	0	0	0
nuclear-Ath-SerAGA-183762	285	243	1395
nuclear-Ath-SerCGA-171782	373	590	2319
nuclear-Ath-SerCGA-171785	1065	1504	5116
nuclear-Ath-SerCGA-171794	969	1372	3674
nuclear-Ath-SerGCT-171796	1286	1034	2023
nuclear-Ath-SerGCT-171797	4986	4239	9079
nuclear-Ath-SerGCT-171798	6257	4675	9002
nuclear-Ath-SerGCT-171800	1132	847	1606
nuclear-Ath-SerGCT-183728	853	503	1390
nuclear-Ath-SerGCT-183752	778	683	1483
nuclear-Ath-SerGCT-183753	11	10	14
nuclear-Ath-SerTGA-171783	420	866	2107
nuclear-Ath-SerTGA-171784	205	350	1120
nuclear-Ath-SerTGA-171792	1141	2568	7531
nuclear-Ath-SerTGA-171793	421	736	2010
nuclear-Ath-ThrAGT-171722	1485	1276	4070
nuclear-Ath-ThrAGT-171723	2665	1887	6370
nuclear-Ath-ThrAGT-171731	2462	2050	7071
nuclear-Ath-ThrCGT-171709	8580	8920	7278
nuclear-Ath-ThrCGT-171710	3321	3309	3273
nuclear-Ath-ThrCGT-171711	731	999	819
nuclear-Ath-ThrTGT-171700	9176	7733	17559
nuclear-Ath-ThrTGT-171705	1255	969	2933
nuclear-Ath-ThrTGT-183732	560	464	946
nuclear-Ath-TrpCCA-171732	23471	43842	243122
nuclear-Ath-TrpCCA-171734	20169	36644	197620
nuclear-Ath-TrpCCA-183740	227	198	912
nuclear-Ath-TyrGTA-171663	31605	11846	33867
nuclear-Ath-TyrGTA-171666	20	16	53
nuclear-Ath-TyrGTA-171668	0	0	25
nuclear-Ath-TyrGTA-183718	0	0	0
nuclear-Ath-TyrGTA-183719	4263	1456	3843
nuclear-Ath-TyrGTA-183720	0	0	69
nuclear-Ath-TyrGTA-183721	0	0	1
nuclear-Ath-TyrGTA-183722	0	0	0
nuclear-Ath-TyrGTA-183723	0	0	16
nuclear-Ath-TyrGTA-183724	0	0	26
nuclear-Ath-TyrGTA-183725	0	0	25
nuclear-Ath-TyrGTA-183726	0	0	0
nuclear-Ath-TyrGTA-183727	0	0	0
nuclear-Ath-ValAAC-171778	205	232	7085
nuclear-Ath-ValAAC-171779	3466	5224	40070
nuclear-Ath-ValCAC-171807	1112	1507	6197
nuclear-Ath-ValCAC-183758	772	1132	4431
nuclear-Ath-ValTAC-171767	5046	5579	51679
nuclear-Ath-ValTAC-183729	224	296	1478
nuclear-Ath-ValTAC-183746	389	399	4538
nuclear-Ath-eMetCAT-171754	8857	10521	76899
nuclear-Ath-iMetCAT-171655	118	129	569
nuclear-Ath-iMetCAT-171658	43	22	183
nuclear-Ath-iMetCAT-171659	580	596	2618
nuclear-Ath-iMetCAT-183717	0	2	4
plastid-Ath-AlaTGC-171845	22714	23514	116423
plastid-Ath-ArgACG-171847	20169	20014	58107
plastid-Ath-ArgTCT-171846	4300	2365	5373
plastid-Ath-AsnGTT-171848	23211	5331	12108
plastid-Ath-AspGTC-171849	13502	11977	37372
plastid-Ath-CysGCA-171850	7982	3033	7063
plastid-Ath-GlnTTG-171851	13632	5850	19212
plastid-Ath-GluTTC-171852	45776	19183	55650
plastid-Ath-GlyGCC-171853	4124	1526	8936
plastid-Ath-GlyTCC-171854	7812	3140	7941
plastid-Ath-HisGTG-171855	32114	15729	29268
plastid-Ath-IleCAT-171856	3996	3502	46214
plastid-Ath-IleGAT-171857	14704	14357	52129
plastid-Ath-LeuCAA-171859	6385	4613	13401
plastid-Ath-LeuTAA-171860	3692	2554	17357
plastid-Ath-LeuTAG-171858	11720	4996	9636
plastid-Ath-LysTTT-171861	2166	1689	6921
plastid-Ath-PheGAA-171864	5257	3308	17677
plastid-Ath-ProTGG-171865	3640	1336	2098
plastid-Ath-SerGCT-171868	3656	1203	3117
plastid-Ath-SerGGA-171866	2360	1048	3664
plastid-Ath-SerTGA-171867	5155	1843	3401
plastid-Ath-ThrGGT-171869	10597	4307	4854
plastid-Ath-ThrTGT-171870	6627	2617	2881
plastid-Ath-TrpCCA-171871	7265	5174	10504
plastid-Ath-TyrGTA-171872	26516	13426	36995
plastid-Ath-ValGAC-171873	1447	537	895
plastid-Ath-ValTAC-171874	4699	2230	3494
plastid-Ath-eMetCAT-171862	3259	1809	2599
plastid-Ath-iMetCAT-171863	3188	1024	5178
Total	957344	797586	3168121
