Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	172	8499	37484
mitochondrial-Ath-AsnGTT-183766	3261	849	2506
mitochondrial-Ath-AspGTC-171828	2166	1645	5090
mitochondrial-Ath-CysGCA-171829	1314	1722	2724
mitochondrial-Ath-GlnTTG-171830	124	41	128
mitochondrial-Ath-GluTTC-171831	583	715	2676
mitochondrial-Ath-GlyGCC-171832	585	309	1041
mitochondrial-Ath-HisGTG-171833	1196	743	1612
mitochondrial-Ath-IleCAT-171837	65	35	182
mitochondrial-Ath-LysTTT-171834	161	121	1225
mitochondrial-Ath-ProTGG-171838	332	132	375
mitochondrial-Ath-SerGCT-171840	171	61	283
mitochondrial-Ath-SerGGA-171839	55	37	119
mitochondrial-Ath-SerTGA-171841	349	116	340
mitochondrial-Ath-TrpCCA-171842	3858	3548	7284
mitochondrial-Ath-TyrGTA-171843	0	15	26
mitochondrial-Ath-TyrGTA-171844	296	183	1189
mitochondrial-Ath-eMetCAT-171836	142	83	116
mitochondrial-Ath-iMetCAT-171835	95	15	76
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-309033	0	2	5
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	0	3	29
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	4097	6048	49850
nuclear-Ath-AlaAGC-171749	12267	18886	165692
nuclear-Ath-AlaAGC-183743	3822	5832	39450
nuclear-Ath-AlaCGC-171750	2062	3088	30740
nuclear-Ath-AlaCGC-171752	4916	7037	61917
nuclear-Ath-AlaCGC-183744	1877	2615	18600
nuclear-Ath-AlaTGC-171747	12755	19824	164925
nuclear-Ath-AlaTGC-171751	1850	2515	19026
nuclear-Ath-ArgACG-171679	489	450	1063
