File	Type	IsoDecoder	SprinzlPos	TPM
MSR_At1c.end_pos.txt	Control	AsnGTT	35	10.9965031120104
MSR_At1c.end_pos.txt	Control	AsnGTT	36	21.9930062240208
MSR_At1c.end_pos.txt	Control	AsnGTT	37	212.599060165534
MSR_At1c.end_pos.txt	Control	AsnGTT	38	216.264561202871
MSR_At1c.end_pos.txt	Control	AsnGTT	39	2144.31810684202
MSR_At1c.end_pos.txt	Control	AsnGTT	40	29.3240082986943
MSR_At1c.end_pos.txt	Control	AsnGTT	41	1414.883400412
MSR_At1c.end_pos.txt	Control	AsnGTT	42	10.9965031120104
MSR_At1c.end_pos.txt	Control	AsnGTT	43	14.6620041493472
MSR_At1c.end_pos.txt	Control	AsnGTT	46	3.66550103733679
MSR_At1c.end_pos.txt	Control	AsnGTT	50	3.66550103733679
MSR_At1c.end_pos.txt	Control	AsnGTT	54	3.66550103733679
MSR_At1c.end_pos.txt	Control	AsnGTT	63	172.278548754829
MSR_At1c.end_pos.txt	Control	AsnGTT	70	10.9965031120104
MSR_At1c.end_pos.txt	Control	AsnGTT	71	32.9895093360311
MSR_At1c.end_pos.txt	Control	AsnGTT	72	95.3030269707566
MSR_At1c.end_pos.txt	Control	AsnGTT	73	197.937056016187
MSR_At1c.end_pos.txt	Control	AsnGTT	74	1686.13047717493
MSR_At1c.end_pos.txt	Control	AsnGTT	75	1444.2074087107
MSR_At1c.end_pos.txt	Control	AsnGTT	76	11971.526387942
MSR_At1c.end_pos.txt	Control	CysGCA	35	29.3240082986943
MSR_At1c.end_pos.txt	Control	CysGCA	36	18.327505186684
MSR_At1c.end_pos.txt	Control	CysGCA	37	3.66550103733679
MSR_At1c.end_pos.txt	Control	CysGCA	39	7.33100207467359
MSR_At1c.end_pos.txt	Control	CysGCA	40	14.6620041493472
MSR_At1c.end_pos.txt	Control	CysGCA	41	3.66550103733679
MSR_At1c.end_pos.txt	Control	CysGCA	44	32.9895093360311
MSR_At1c.end_pos.txt	Control	CysGCA	52	7.33100207467359
MSR_At1c.end_pos.txt	Control	CysGCA	53	18.327505186684
MSR_At1c.end_pos.txt	Control	CysGCA	56	10.9965031120104
MSR_At1c.end_pos.txt	Control	CysGCA	57	21.9930062240208
MSR_At1c.end_pos.txt	Control	CysGCA	58	10.9965031120104
MSR_At1c.end_pos.txt	Control	CysGCA	59	29.3240082986943
MSR_At1c.end_pos.txt	Control	CysGCA	60	21.9930062240208
MSR_At1c.end_pos.txt	Control	CysGCA	62	3.66550103733679
MSR_At1c.end_pos.txt	Control	CysGCA	65	7.33100207467359
MSR_At1c.end_pos.txt	Control	CysGCA	67	7.33100207467359
