Gene	Position	SprinzlPosition	StartPosCount
mitochondrial-Ath-AsnGTT-183766	1	1	13150
mitochondrial-Ath-AsnGTT-183766	2	2	140
mitochondrial-Ath-AsnGTT-183766	3	3	38
mitochondrial-Ath-AsnGTT-183766	4	4	23
mitochondrial-Ath-AsnGTT-183766	5	5	14
mitochondrial-Ath-AsnGTT-183766	6	6	39
mitochondrial-Ath-AsnGTT-183766	7	7	31
mitochondrial-Ath-AsnGTT-183766	8	8	320
mitochondrial-Ath-AsnGTT-183766	9	9	27
mitochondrial-Ath-AsnGTT-183766	10	10	49
mitochondrial-Ath-AsnGTT-183766	11	11	43
mitochondrial-Ath-AsnGTT-183766	12	12	54
mitochondrial-Ath-AsnGTT-183766	13	13	25
mitochondrial-Ath-AsnGTT-183766	14	14	18
mitochondrial-Ath-AsnGTT-183766	15	15	35
mitochondrial-Ath-AsnGTT-183766	16	16	378
mitochondrial-Ath-AsnGTT-183766	17	18	175
mitochondrial-Ath-AsnGTT-183766	18	19	131
mitochondrial-Ath-AsnGTT-183766	19	20	332
mitochondrial-Ath-AsnGTT-183766	20	21	123
mitochondrial-Ath-AsnGTT-183766	21	22	113
mitochondrial-Ath-AsnGTT-183766	22	23	390
mitochondrial-Ath-AsnGTT-183766	23	24	37
mitochondrial-Ath-AsnGTT-183766	24	25	149
mitochondrial-Ath-AsnGTT-183766	25	26	3261
mitochondrial-Ath-AsnGTT-183766	26	27	29297
mitochondrial-Ath-AsnGTT-183766	27	28	2307
mitochondrial-Ath-AsnGTT-183766	28	29	342
mitochondrial-Ath-AsnGTT-183766	29	30	279
mitochondrial-Ath-AsnGTT-183766	30	31	691
mitochondrial-Ath-AsnGTT-183766	31	32	309
mitochondrial-Ath-AsnGTT-183766	32	33	233
mitochondrial-Ath-AsnGTT-183766	33	34	138
mitochondrial-Ath-AsnGTT-183766	34	35	30
mitochondrial-Ath-AsnGTT-183766	35	36	67
mitochondrial-Ath-AsnGTT-183766	36	37	47
mitochondrial-Ath-AsnGTT-183766	37	38	37
mitochondrial-Ath-AsnGTT-183766	38	39	14
mitochondrial-Ath-AsnGTT-183766	39	40	4
mitochondrial-Ath-AsnGTT-183766	41	42	1
mitochondrial-Ath-AspGTC-171828	1	1	8132
mitochondrial-Ath-AspGTC-171828	2	2	136
mitochondrial-Ath-AspGTC-171828	3	3	29
mitochondrial-Ath-AspGTC-171828	4	4	92
mitochondrial-Ath-AspGTC-171828	5	5	13
mitochondrial-Ath-AspGTC-171828	6	6	13
mitochondrial-Ath-AspGTC-171828	7	7	28
mitochondrial-Ath-AspGTC-171828	8	8	55
mitochondrial-Ath-AspGTC-171828	9	9	31
mitochondrial-Ath-AspGTC-171828	10	10	122
mitochondrial-Ath-AspGTC-171828	11	11	88
mitochondrial-Ath-AspGTC-171828	12	12	54
mitochondrial-Ath-AspGTC-171828	13	13	46
mitochondrial-Ath-AspGTC-171828	14	14	54
mitochondrial-Ath-AspGTC-171828	15	15	33
mitochondrial-Ath-AspGTC-171828	16	16	29
mitochondrial-Ath-AspGTC-171828	17	17	85
mitochondrial-Ath-AspGTC-171828	18	18	444
