Gene	Position	SprinzlPosition	EndPosCount
mitochondrial-Ath-AsnGTT-183766	32	33	2
mitochondrial-Ath-AsnGTT-183766	33	34	1
mitochondrial-Ath-AsnGTT-183766	34	35	4
mitochondrial-Ath-AsnGTT-183766	35	36	11
mitochondrial-Ath-AsnGTT-183766	36	37	56
mitochondrial-Ath-AsnGTT-183766	37	38	173
mitochondrial-Ath-AsnGTT-183766	38	39	1753
mitochondrial-Ath-AsnGTT-183766	39	40	75
mitochondrial-Ath-AsnGTT-183766	40	41	94
mitochondrial-Ath-AsnGTT-183766	41	42	9
mitochondrial-Ath-AsnGTT-183766	42	43	8
mitochondrial-Ath-AsnGTT-183766	43	44	1
mitochondrial-Ath-AsnGTT-183766	44	45	2
mitochondrial-Ath-AsnGTT-183766	45	46	7
mitochondrial-Ath-AsnGTT-183766	46	47	4
mitochondrial-Ath-AsnGTT-183766	47	48	2
mitochondrial-Ath-AsnGTT-183766	50	51	6
mitochondrial-Ath-AsnGTT-183766	51	52	1
mitochondrial-Ath-AsnGTT-183766	53	54	18
mitochondrial-Ath-AsnGTT-183766	54	55	16
mitochondrial-Ath-AsnGTT-183766	55	56	35
mitochondrial-Ath-AsnGTT-183766	57	58	2
mitochondrial-Ath-AsnGTT-183766	59	60	1
mitochondrial-Ath-AsnGTT-183766	62	63	79
mitochondrial-Ath-AsnGTT-183766	64	65	78
mitochondrial-Ath-AsnGTT-183766	65	66	20
mitochondrial-Ath-AsnGTT-183766	66	67	1
mitochondrial-Ath-AsnGTT-183766	68	69	2
mitochondrial-Ath-AsnGTT-183766	69	70	26
mitochondrial-Ath-AsnGTT-183766	70	71	301
mitochondrial-Ath-AsnGTT-183766	71	72	1067
mitochondrial-Ath-AsnGTT-183766	72	73	5373
mitochondrial-Ath-AsnGTT-183766	73	74	20051
mitochondrial-Ath-AsnGTT-183766	74	75	10450
mitochondrial-Ath-AsnGTT-183766	75	76	31830
mitochondrial-Ath-AspGTC-171828	32	31	8
mitochondrial-Ath-AspGTC-171828	33	32	3
mitochondrial-Ath-AspGTC-171828	34	33	1
mitochondrial-Ath-AspGTC-171828	35	34	4
mitochondrial-Ath-AspGTC-171828	36	35	8
mitochondrial-Ath-AspGTC-171828	37	36	15
mitochondrial-Ath-AspGTC-171828	38	37	3
mitochondrial-Ath-AspGTC-171828	39	38	10
mitochondrial-Ath-AspGTC-171828	44	43	2
mitochondrial-Ath-AspGTC-171828	50	49	1
mitochondrial-Ath-AspGTC-171828	53	52	5
