Gene	Position	SprinzlPosition	EndPosCount
mitochondrial-Ath-AsnGTT-183766	33	34	3
mitochondrial-Ath-AsnGTT-183766	34	35	2
mitochondrial-Ath-AsnGTT-183766	35	36	17
mitochondrial-Ath-AsnGTT-183766	36	37	48
mitochondrial-Ath-AsnGTT-183766	37	38	138
mitochondrial-Ath-AsnGTT-183766	38	39	1036
mitochondrial-Ath-AsnGTT-183766	39	40	34
mitochondrial-Ath-AsnGTT-183766	40	41	48
mitochondrial-Ath-AsnGTT-183766	41	42	8
mitochondrial-Ath-AsnGTT-183766	42	43	7
mitochondrial-Ath-AsnGTT-183766	44	45	6
mitochondrial-Ath-AsnGTT-183766	46	47	1
mitochondrial-Ath-AsnGTT-183766	50	51	5
mitochondrial-Ath-AsnGTT-183766	52	53	6
mitochondrial-Ath-AsnGTT-183766	53	54	20
mitochondrial-Ath-AsnGTT-183766	54	55	7
mitochondrial-Ath-AsnGTT-183766	55	56	17
mitochondrial-Ath-AsnGTT-183766	59	60	6
mitochondrial-Ath-AsnGTT-183766	60	61	1
mitochondrial-Ath-AsnGTT-183766	62	63	47
mitochondrial-Ath-AsnGTT-183766	63	64	2
mitochondrial-Ath-AsnGTT-183766	64	65	84
mitochondrial-Ath-AsnGTT-183766	65	66	18
mitochondrial-Ath-AsnGTT-183766	66	67	10
mitochondrial-Ath-AsnGTT-183766	67	68	5
mitochondrial-Ath-AsnGTT-183766	68	69	21
mitochondrial-Ath-AsnGTT-183766	69	70	55
mitochondrial-Ath-AsnGTT-183766	70	71	549
mitochondrial-Ath-AsnGTT-183766	71	72	2257
mitochondrial-Ath-AsnGTT-183766	72	73	7562
mitochondrial-Ath-AsnGTT-183766	73	74	24998
mitochondrial-Ath-AsnGTT-183766	74	75	15138
mitochondrial-Ath-AsnGTT-183766	75	76	735
mitochondrial-Ath-AspGTC-171828	33	32	1
mitochondrial-Ath-AspGTC-171828	34	33	1
mitochondrial-Ath-AspGTC-171828	35	34	11
mitochondrial-Ath-AspGTC-171828	36	35	8
mitochondrial-Ath-AspGTC-171828	37	36	15
mitochondrial-Ath-AspGTC-171828	45	44	1
mitochondrial-Ath-AspGTC-171828	49	48	4
mitochondrial-Ath-AspGTC-171828	50	49	1
mitochondrial-Ath-AspGTC-171828	54	53	9
mitochondrial-Ath-AspGTC-171828	55	54	11
mitochondrial-Ath-AspGTC-171828	56	55	7
