Gene	Position	SprinzlPosition	EndPosCount
mitochondrial-Ath-AsnGTT-183766	34	35	1
mitochondrial-Ath-AsnGTT-183766	35	36	5
mitochondrial-Ath-AsnGTT-183766	36	37	133
mitochondrial-Ath-AsnGTT-183766	37	38	64
mitochondrial-Ath-AsnGTT-183766	38	39	467
mitochondrial-Ath-AsnGTT-183766	39	40	11
mitochondrial-Ath-AsnGTT-183766	40	41	950
mitochondrial-Ath-AsnGTT-183766	41	42	2
mitochondrial-Ath-AsnGTT-183766	48	49	4
mitochondrial-Ath-AsnGTT-183766	54	55	1
mitochondrial-Ath-AsnGTT-183766	55	56	4
mitochondrial-Ath-AsnGTT-183766	62	63	134
mitochondrial-Ath-AsnGTT-183766	70	71	39
mitochondrial-Ath-AsnGTT-183766	71	72	40
mitochondrial-Ath-AsnGTT-183766	72	73	116
mitochondrial-Ath-AsnGTT-183766	73	74	1088
mitochondrial-Ath-AsnGTT-183766	74	75	951
mitochondrial-Ath-AsnGTT-183766	75	76	7403
mitochondrial-Ath-AspGTC-171828	33	32	1
mitochondrial-Ath-AspGTC-171828	34	33	1
mitochondrial-Ath-AspGTC-171828	36	35	3
mitochondrial-Ath-AspGTC-171828	37	36	4
mitochondrial-Ath-AspGTC-171828	39	38	2
mitochondrial-Ath-AspGTC-171828	54	53	9
mitochondrial-Ath-AspGTC-171828	55	54	1
mitochondrial-Ath-AspGTC-171828	56	55	5
mitochondrial-Ath-AspGTC-171828	57	56	4
mitochondrial-Ath-AspGTC-171828	59	58	1
mitochondrial-Ath-AspGTC-171828	60	59	11
mitochondrial-Ath-AspGTC-171828	61	60	9
mitochondrial-Ath-AspGTC-171828	62	61	1
mitochondrial-Ath-AspGTC-171828	63	62	21
mitochondrial-Ath-AspGTC-171828	64	63	13
mitochondrial-Ath-AspGTC-171828	65	64	2
mitochondrial-Ath-AspGTC-171828	67	66	9
mitochondrial-Ath-AspGTC-171828	68	67	3
mitochondrial-Ath-AspGTC-171828	72	71	1
mitochondrial-Ath-AspGTC-171828	73	72	132
mitochondrial-Ath-AspGTC-171828	74	73	94
mitochondrial-Ath-AspGTC-171828	75	74	1073
mitochondrial-Ath-AspGTC-171828	76	75	978
mitochondrial-Ath-AspGTC-171828	77	76	3178
mitochondrial-Ath-CysGCA-171829	34	35	6
mitochondrial-Ath-CysGCA-171829	37	38	1
mitochondrial-Ath-CysGCA-171829	38	39	3
mitochondrial-Ath-CysGCA-171829	39	40	3
mitochondrial-Ath-CysGCA-171829	40	41	2
mitochondrial-Ath-CysGCA-171829	42	43	6
mitochondrial-Ath-CysGCA-171829	43	44	6
mitochondrial-Ath-CysGCA-171829	44	45	2
mitochondrial-Ath-CysGCA-171829	45	46	6
mitochondrial-Ath-CysGCA-171829	46	48	2
mitochondrial-Ath-CysGCA-171829	48	50	4
mitochondrial-Ath-CysGCA-171829	49	51	2
mitochondrial-Ath-CysGCA-171829	51	53	4
mitochondrial-Ath-CysGCA-171829	52	54	1
mitochondrial-Ath-CysGCA-171829	54	56	1
mitochondrial-Ath-CysGCA-171829	55	57	2
mitochondrial-Ath-CysGCA-171829	56	58	11
mitochondrial-Ath-CysGCA-171829	57	59	4
mitochondrial-Ath-CysGCA-171829	63	65	8
mitochondrial-Ath-CysGCA-171829	67	69	6
mitochondrial-Ath-CysGCA-171829	68	70	10
mitochondrial-Ath-CysGCA-171829	69	71	39
mitochondrial-Ath-CysGCA-171829	70	72	341
mitochondrial-Ath-CysGCA-171829	71	73	1175
mitochondrial-Ath-CysGCA-171829	72	74	3469
mitochondrial-Ath-CysGCA-171829	73	75	6468
mitochondrial-Ath-CysGCA-171829	74	76	35078
mitochondrial-Ath-GlnTTG-171830	34	35	1
mitochondrial-Ath-GlnTTG-171830	37	38	4
mitochondrial-Ath-GlnTTG-171830	50	51	3
mitochondrial-Ath-GlnTTG-171830	53	54	5
mitochondrial-Ath-GlnTTG-171830	57	58	1
