Gene	Position	SprinzlPosition	StartPosCount
mitochondrial-Ath-AsnGTT-183766	1	1	3404
mitochondrial-Ath-AsnGTT-183766	2	2	36
mitochondrial-Ath-AsnGTT-183766	3	3	10
mitochondrial-Ath-AsnGTT-183766	4	4	11
mitochondrial-Ath-AsnGTT-183766	5	5	4
mitochondrial-Ath-AsnGTT-183766	6	6	3
mitochondrial-Ath-AsnGTT-183766	7	7	10
mitochondrial-Ath-AsnGTT-183766	8	8	80
mitochondrial-Ath-AsnGTT-183766	9	9	22
mitochondrial-Ath-AsnGTT-183766	10	10	30
mitochondrial-Ath-AsnGTT-183766	11	11	20
mitochondrial-Ath-AsnGTT-183766	12	12	9
mitochondrial-Ath-AsnGTT-183766	13	13	4
mitochondrial-Ath-AsnGTT-183766	14	14	5
mitochondrial-Ath-AsnGTT-183766	15	15	20
mitochondrial-Ath-AsnGTT-183766	16	16	116
mitochondrial-Ath-AsnGTT-183766	17	18	54
mitochondrial-Ath-AsnGTT-183766	18	19	36
mitochondrial-Ath-AsnGTT-183766	19	20	121
mitochondrial-Ath-AsnGTT-183766	20	21	45
mitochondrial-Ath-AsnGTT-183766	21	22	43
mitochondrial-Ath-AsnGTT-183766	22	23	129
mitochondrial-Ath-AsnGTT-183766	23	24	24
mitochondrial-Ath-AsnGTT-183766	24	25	51
mitochondrial-Ath-AsnGTT-183766	25	26	1675
mitochondrial-Ath-AsnGTT-183766	26	27	17528
mitochondrial-Ath-AsnGTT-183766	27	28	1086
mitochondrial-Ath-AsnGTT-183766	28	29	236
mitochondrial-Ath-AsnGTT-183766	29	30	191
mitochondrial-Ath-AsnGTT-183766	30	31	315
mitochondrial-Ath-AsnGTT-183766	31	32	187
mitochondrial-Ath-AsnGTT-183766	32	33	134
mitochondrial-Ath-AsnGTT-183766	33	34	101
mitochondrial-Ath-AsnGTT-183766	34	35	39
mitochondrial-Ath-AsnGTT-183766	35	36	44
mitochondrial-Ath-AsnGTT-183766	36	37	31
mitochondrial-Ath-AsnGTT-183766	37	38	23
mitochondrial-Ath-AsnGTT-183766	38	39	16
mitochondrial-Ath-AsnGTT-183766	39	40	1
mitochondrial-Ath-AsnGTT-183766	40	41	1
mitochondrial-Ath-AspGTC-171828	1	1	1355
mitochondrial-Ath-AspGTC-171828	2	2	21
mitochondrial-Ath-AspGTC-171828	3	3	6
mitochondrial-Ath-AspGTC-171828	4	4	7
mitochondrial-Ath-AspGTC-171828	5	5	2
mitochondrial-Ath-AspGTC-171828	6	6	5
mitochondrial-Ath-AspGTC-171828	7	7	2
mitochondrial-Ath-AspGTC-171828	8	8	9
mitochondrial-Ath-AspGTC-171828	9	9	8
mitochondrial-Ath-AspGTC-171828	10	10	36
mitochondrial-Ath-AspGTC-171828	11	11	16
mitochondrial-Ath-AspGTC-171828	12	12	16
mitochondrial-Ath-AspGTC-171828	13	13	6
mitochondrial-Ath-AspGTC-171828	14	14	16
mitochondrial-Ath-AspGTC-171828	15	15	9
mitochondrial-Ath-AspGTC-171828	16	16	11
mitochondrial-Ath-AspGTC-171828	17	17	17
mitochondrial-Ath-AspGTC-171828	18	18	209
mitochondrial-Ath-AspGTC-171828	19	19	729
mitochondrial-Ath-AspGTC-171828	20	20	1027
mitochondrial-Ath-AspGTC-171828	21	20x	46
mitochondrial-Ath-AspGTC-171828	22	21	37
mitochondrial-Ath-AspGTC-171828	23	22	120
mitochondrial-Ath-AspGTC-171828	24	23	3356
mitochondrial-Ath-AspGTC-171828	25	24	128
mitochondrial-Ath-AspGTC-171828	26	25	238
mitochondrial-Ath-AspGTC-171828	27	26	84
mitochondrial-Ath-AspGTC-171828	28	27	29
mitochondrial-Ath-AspGTC-171828	29	28	30
mitochondrial-Ath-AspGTC-171828	30	29	43
mitochondrial-Ath-AspGTC-171828	31	30	25
mitochondrial-Ath-AspGTC-171828	32	31	18
mitochondrial-Ath-AspGTC-171828	33	32	12
mitochondrial-Ath-AspGTC-171828	34	33	41
mitochondrial-Ath-AspGTC-171828	35	34	173
