Gene	Position	SprinzlPosition	EndPosCount
mitochondrial-Ath-AsnGTT-183766	34	35	3
mitochondrial-Ath-AsnGTT-183766	35	36	6
mitochondrial-Ath-AsnGTT-183766	36	37	58
mitochondrial-Ath-AsnGTT-183766	37	38	59
mitochondrial-Ath-AsnGTT-183766	38	39	585
mitochondrial-Ath-AsnGTT-183766	39	40	8
mitochondrial-Ath-AsnGTT-183766	40	41	386
mitochondrial-Ath-AsnGTT-183766	41	42	3
mitochondrial-Ath-AsnGTT-183766	42	43	4
mitochondrial-Ath-AsnGTT-183766	45	46	1
mitochondrial-Ath-AsnGTT-183766	49	50	1
mitochondrial-Ath-AsnGTT-183766	53	54	1
mitochondrial-Ath-AsnGTT-183766	62	63	47
mitochondrial-Ath-AsnGTT-183766	69	70	3
mitochondrial-Ath-AsnGTT-183766	70	71	9
mitochondrial-Ath-AsnGTT-183766	71	72	26
mitochondrial-Ath-AsnGTT-183766	72	73	54
mitochondrial-Ath-AsnGTT-183766	73	74	460
mitochondrial-Ath-AsnGTT-183766	74	75	394
mitochondrial-Ath-AsnGTT-183766	75	76	3266
mitochondrial-Ath-AspGTC-171828	33	32	3
mitochondrial-Ath-AspGTC-171828	35	34	5
mitochondrial-Ath-AspGTC-171828	36	35	2
mitochondrial-Ath-AspGTC-171828	37	36	1
mitochondrial-Ath-AspGTC-171828	49	48	1
mitochondrial-Ath-AspGTC-171828	54	53	10
mitochondrial-Ath-AspGTC-171828	55	54	2
mitochondrial-Ath-AspGTC-171828	61	60	1
mitochondrial-Ath-AspGTC-171828	62	61	5
mitochondrial-Ath-AspGTC-171828	63	62	12
mitochondrial-Ath-AspGTC-171828	64	63	3
mitochondrial-Ath-AspGTC-171828	72	71	2
mitochondrial-Ath-AspGTC-171828	73	72	32
mitochondrial-Ath-AspGTC-171828	74	73	20
mitochondrial-Ath-AspGTC-171828	75	74	301
mitochondrial-Ath-AspGTC-171828	76	75	370
mitochondrial-Ath-AspGTC-171828	77	76	1477
mitochondrial-Ath-CysGCA-171829	34	35	8
mitochondrial-Ath-CysGCA-171829	35	36	5
mitochondrial-Ath-CysGCA-171829	36	37	1
mitochondrial-Ath-CysGCA-171829	38	39	2
mitochondrial-Ath-CysGCA-171829	39	40	4
mitochondrial-Ath-CysGCA-171829	40	41	1
mitochondrial-Ath-CysGCA-171829	43	44	9
mitochondrial-Ath-CysGCA-171829	50	52	2
mitochondrial-Ath-CysGCA-171829	51	53	5
mitochondrial-Ath-CysGCA-171829	54	56	3
mitochondrial-Ath-CysGCA-171829	55	57	6
mitochondrial-Ath-CysGCA-171829	56	58	3
mitochondrial-Ath-CysGCA-171829	57	59	8
mitochondrial-Ath-CysGCA-171829	58	60	6
mitochondrial-Ath-CysGCA-171829	60	62	1
mitochondrial-Ath-CysGCA-171829	63	65	2
mitochondrial-Ath-CysGCA-171829	65	67	2
mitochondrial-Ath-CysGCA-171829	66	68	3
mitochondrial-Ath-CysGCA-171829	67	69	2
mitochondrial-Ath-CysGCA-171829	68	70	3
mitochondrial-Ath-CysGCA-171829	69	71	76
mitochondrial-Ath-CysGCA-171829	70	72	351
mitochondrial-Ath-CysGCA-171829	71	73	1096
mitochondrial-Ath-CysGCA-171829	72	74	3681
mitochondrial-Ath-CysGCA-171829	73	75	6239
mitochondrial-Ath-CysGCA-171829	74	76	33717
mitochondrial-Ath-GlnTTG-171830	34	35	1
mitochondrial-Ath-GlnTTG-171830	35	36	1
mitochondrial-Ath-GlnTTG-171830	37	38	9
mitochondrial-Ath-GlnTTG-171830	38	39	1
mitochondrial-Ath-GlnTTG-171830	55	56	5
mitochondrial-Ath-GlnTTG-171830	70	71	5
mitochondrial-Ath-GlnTTG-171830	72	73	2
mitochondrial-Ath-GlnTTG-171830	73	74	68
mitochondrial-Ath-GlnTTG-171830	74	75	69
mitochondrial-Ath-GlnTTG-171830	75	76	330
mitochondrial-Ath-GluTTC-171831	36	36	14
mitochondrial-Ath-GluTTC-171831	37	37	4
mitochondrial-Ath-GluTTC-171831	38	38	4
mitochondrial-Ath-GluTTC-171831	39	39	6
mitochondrial-Ath-GluTTC-171831	41	41	1
mitochondrial-Ath-GluTTC-171831	47	48	51
mitochondrial-Ath-GluTTC-171831	48	49	2
mitochondrial-Ath-GluTTC-171831	49	50	1
mitochondrial-Ath-GluTTC-171831	50	51	12
mitochondrial-Ath-GluTTC-171831	51	52	1
mitochondrial-Ath-GluTTC-171831	52	53	17
mitochondrial-Ath-GluTTC-171831	53	54	8
mitochondrial-Ath-GluTTC-171831	56	57	2
mitochondrial-Ath-GluTTC-171831	62	63	1
mitochondrial-Ath-GluTTC-171831	69	70	10
mitochondrial-Ath-GluTTC-171831	70	71	51
