Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	0	0	0
mitochondrial-Ath-AsnGTT-183766	46585	14063	44205
mitochondrial-Ath-AspGTC-171828	20179	11263	34044
mitochondrial-Ath-CysGCA-171829	25872	17896	34626
mitochondrial-Ath-GlnTTG-171830	1561	714	1961
mitochondrial-Ath-GluTTC-171831	4443	5962	22042
mitochondrial-Ath-GlyGCC-171832	9246	4375	12979
mitochondrial-Ath-HisGTG-171833	13970	8126	18741
mitochondrial-Ath-IleCAT-171837	951	574	3299
mitochondrial-Ath-LysTTT-171834	1601	1371	10132
mitochondrial-Ath-ProTGG-171838	2105	779	2622
mitochondrial-Ath-SerGCT-171840	4294	1356	4343
mitochondrial-Ath-SerGGA-171839	649	252	825
mitochondrial-Ath-SerTGA-171841	5369	1915	3979
mitochondrial-Ath-TrpCCA-171842	67486	47747	125810
mitochondrial-Ath-TyrGTA-171843	2	43	259
mitochondrial-Ath-TyrGTA-171844	5932	3710	21123
mitochondrial-Ath-eMetCAT-171836	1736	1083	1622
mitochondrial-Ath-iMetCAT-171835	909	200	642
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	6	4
mitochondrial-Ath-stemloop-309033	0	59	218
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-49221	0	1	0
mitochondrial-Ath-stemloop-c116660	1	44	381
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	50113	62013	453241
nuclear-Ath-AlaAGC-171749	110965	147484	1226231
nuclear-Ath-AlaAGC-183743	56371	73267	458447
nuclear-Ath-AlaCGC-171750	22207	27751	257802
nuclear-Ath-AlaCGC-171752	38464	45289	390589
nuclear-Ath-AlaCGC-183744	18196	20291	141461
nuclear-Ath-AlaTGC-171747	119029	151128	1330668
nuclear-Ath-AlaTGC-171751	18902	27733	231515
nuclear-Ath-ArgACG-171679	7084	5710	14655
nuclear-Ath-ArgACG-171680	40495	32228	86496
nuclear-Ath-ArgACG-171681	21671	19019	36495
nuclear-Ath-ArgACG-171682	53887	45320	96118
nuclear-Ath-ArgACG-171683	22500	21522	73358
nuclear-Ath-ArgACG-171772	13593	13535	48105
nuclear-Ath-ArgCCG-171678	167523	98945	196555
nuclear-Ath-ArgCCG-171686	4740	3753	16200
nuclear-Ath-ArgCCG-183763	1450	1551	4414
nuclear-Ath-ArgCCT-171715	8540	7599	20398
nuclear-Ath-ArgCCT-171716	131750	117128	329931
nuclear-Ath-ArgCCT-171719	22093	23561	88377
nuclear-Ath-ArgTCG-171676	107873	124282	341947
nuclear-Ath-ArgTCG-171677	76457	76615	171331
nuclear-Ath-ArgTCT-171693	17379	10204	64848
nuclear-Ath-ArgTCT-171694	57550	28881	240141
nuclear-Ath-ArgTCT-171695	40061	17424	113138
nuclear-Ath-ArgTCT-171696	12180	5676	36416
nuclear-Ath-ArgTCT-171714	24249	10999	38115
nuclear-Ath-ArgTCT-171717	13095	7337	29624
nuclear-Ath-ArgTCT-183731	92	37	227
nuclear-Ath-AsnGTT-171725	5342	4220	17648
nuclear-Ath-AsnGTT-171727	64810	51266	227552
nuclear-Ath-AsnGTT-171729	79753	62254	282552
nuclear-Ath-AsnGTT-183736	10173	7103	25985
nuclear-Ath-AsnGTT-183737	9	0	24
nuclear-Ath-AsnGTT-183738	17200	14174	58812
nuclear-Ath-AsnGTT-183739	13704	10940	53026
nuclear-Ath-AspGTC-171804	704738	488082	969864
nuclear-Ath-AspGTC-183754	170	66	119
nuclear-Ath-AspGTC-183755	10	14	65
nuclear-Ath-AspGTC-183756	182	99	76885
nuclear-Ath-AspGTC-183757	212	157	6000
nuclear-Ath-CysGCA-171684	10415	5570	9033
nuclear-Ath-CysGCA-171742	1864	926	2634
nuclear-Ath-CysGCA-171756	3624	2005	7912
nuclear-Ath-CysGCA-171757	1905	907	2698
nuclear-Ath-CysGCA-171758	16421	9732	24398
nuclear-Ath-CysGCA-171759	4716	2234	4709
nuclear-Ath-CysGCA-171762	1586	834	1726
nuclear-Ath-CysGCA-183716	2	0	245
nuclear-Ath-CysGCA-183742	5646	3137	5598
nuclear-Ath-CysGCA-183745	1180	574	1140
nuclear-Ath-GlnCTG-171763	21569	13772	27987
nuclear-Ath-GlnCTG-171765	6809	6089	13003
nuclear-Ath-GlnCTG-171773	14724	10852	22505
nuclear-Ath-GlnCTG-171774	11150	8841	17371
nuclear-Ath-GlnCTG-171775	120602	85958	165840
nuclear-Ath-GlnTTG-171777	67317	80003	250030
nuclear-Ath-GlnTTG-183749	31339	32402	76277
nuclear-Ath-GluCTC-171821	32459	12152	34719
nuclear-Ath-GluCTC-171824	76928	31029	79994
nuclear-Ath-GluCTC-171825	13180	4816	12099
nuclear-Ath-GluCTC-183765	368	103	1360
nuclear-Ath-GluTTC-171820	150351	80659	262239
nuclear-Ath-GluTTC-171822	22913	10727	37335
nuclear-Ath-GluTTC-171826	8105	4128	14486
nuclear-Ath-GluTTC-183764	5958	3090	15146
nuclear-Ath-GlyCCC-171713	105685	95051	322692
nuclear-Ath-GlyGCC-171688	15597	9505	30346
nuclear-Ath-GlyGCC-171690	49165	24212	96714
nuclear-Ath-GlyGCC-171691	452247	279398	1087657
nuclear-Ath-GlyGCC-171692	4052	1937	7336
nuclear-Ath-GlyGCC-183730	77	169	695
nuclear-Ath-GlyTCC-171720	74571	88781	426715
nuclear-Ath-HisGTG-171768	36654	41661	135524
nuclear-Ath-HisGTG-171770	9012	9698	22723
nuclear-Ath-HisGTG-183747	12934	14600	38040
nuclear-Ath-HisGTG-183748	5583	6938	24354
nuclear-Ath-IleAAT-171735	105779	124586	817365
nuclear-Ath-IleAAT-171736	108355	145236	1000234
nuclear-Ath-IleTAT-171721	5308	5449	23306
nuclear-Ath-IleTAT-171764	9089	8976	40716
nuclear-Ath-LeuAAG-171816	122804	91113	417783
nuclear-Ath-LeuAAG-171817	124689	93247	419823
nuclear-Ath-LeuCAA-171786	26944	26601	90934
nuclear-Ath-LeuCAA-171787	20799	16731	68950
nuclear-Ath-LeuCAA-171789	34684	26151	112389
nuclear-Ath-LeuCAA-171790	33021	24406	96659
nuclear-Ath-LeuCAA-183751	2638	2526	8904
nuclear-Ath-LeuCAG-171781	54674	44869	154717
nuclear-Ath-LeuTAA-171698	22229	16241	49621
nuclear-Ath-LeuTAA-171699	23845	17277	54188
nuclear-Ath-LeuTAA-171791	12612	14485	32506
nuclear-Ath-LeuTAG-171673	69050	81172	595029
nuclear-Ath-LeuTAG-171675	70440	85129	490910
nuclear-Ath-LeuTAG-171685	60523	73569	459600
nuclear-Ath-LysCTT-171703	32769	20855	61785
nuclear-Ath-LysCTT-171704	395140	245846	535827
nuclear-Ath-LysCTT-183733	9275	5395	10319
nuclear-Ath-LysTTT-171707	68793	30077	63404
nuclear-Ath-LysTTT-171712	8582	4016	8912
nuclear-Ath-LysTTT-183734	67032	30272	60295
nuclear-Ath-LysTTT-183735	20	13	87
nuclear-Ath-PheGAA-171718	128726	131869	459896
nuclear-Ath-ProAGG-171737	61054	21993	71313
nuclear-Ath-ProAGG-171738	16914	5362	16317
nuclear-Ath-ProAGG-171743	46817	19328	51319
nuclear-Ath-ProCGG-171739	426	151	856
nuclear-Ath-ProCGG-171760	23643	11694	69061
nuclear-Ath-ProCGG-171761	35040	17395	104631
nuclear-Ath-ProTGG-171741	27722	12043	56194
nuclear-Ath-ProTGG-171744	88504	44898	173265
nuclear-Ath-ProTGG-183741	109	34	1358
nuclear-Ath-SerAGA-171812	6877	8547	134409
nuclear-Ath-SerAGA-171813	33110	33328	377455
nuclear-Ath-SerAGA-171814	182	309	1605
nuclear-Ath-SerAGA-171815	448	347	3214
nuclear-Ath-SerAGA-183750	9975	7879	21922
nuclear-Ath-SerAGA-183759	9173	9786	102159
nuclear-Ath-SerAGA-183760	1	4	6
nuclear-Ath-SerAGA-183761	0	0	2
nuclear-Ath-SerAGA-183762	2654	1827	14274
nuclear-Ath-SerCGA-171782	3363	4605	22246
nuclear-Ath-SerCGA-171785	14303	16153	67040
nuclear-Ath-SerCGA-171794	11451	13550	46602
nuclear-Ath-SerGCT-171796	12449	9129	23313
nuclear-Ath-SerGCT-171797	40262	33157	87834
nuclear-Ath-SerGCT-171798	55886	40962	87909
nuclear-Ath-SerGCT-171800	12933	8890	21237
nuclear-Ath-SerGCT-183728	11663	6313	18333
nuclear-Ath-SerGCT-183752	7773	6823	16944
nuclear-Ath-SerGCT-183753	82	48	110
nuclear-Ath-SerTGA-171783	4659	7289	23252
nuclear-Ath-SerTGA-171784	3607	4542	15981
nuclear-Ath-SerTGA-171792	11248	19474	67980
nuclear-Ath-SerTGA-171793	4658	6451	21930
nuclear-Ath-ThrAGT-171722	12905	14113	57125
nuclear-Ath-ThrAGT-171723	25395	21596	77600
nuclear-Ath-ThrAGT-171731	27031	23741	102647
nuclear-Ath-ThrCGT-171709	92643	88568	78293
nuclear-Ath-ThrCGT-171710	38767	36648	37450
nuclear-Ath-ThrCGT-171711	7978	8650	7770
nuclear-Ath-ThrTGT-171700	136838	119576	354345
nuclear-Ath-ThrTGT-171705	15656	13669	53292
nuclear-Ath-ThrTGT-183732	6137	5118	17039
nuclear-Ath-TrpCCA-171732	195287	333388	2852224
nuclear-Ath-TrpCCA-171734	180976	301704	2544482
nuclear-Ath-TrpCCA-183740	1470	1700	10219
nuclear-Ath-TyrGTA-171663	423593	166647	629186
nuclear-Ath-TyrGTA-171666	69	59	401
nuclear-Ath-TyrGTA-171668	0	0	145
nuclear-Ath-TyrGTA-183718	0	0	4
nuclear-Ath-TyrGTA-183719	70531	24456	82852
nuclear-Ath-TyrGTA-183720	9	9	947
nuclear-Ath-TyrGTA-183721	0	0	2
nuclear-Ath-TyrGTA-183722	0	0	0
nuclear-Ath-TyrGTA-183723	0	0	153
nuclear-Ath-TyrGTA-183724	0	3	171
nuclear-Ath-TyrGTA-183725	0	0	157
nuclear-Ath-TyrGTA-183726	0	0	3
nuclear-Ath-TyrGTA-183727	15	6	21
nuclear-Ath-ValAAC-171778	1313	1464	97468
nuclear-Ath-ValAAC-171779	34756	49890	519137
nuclear-Ath-ValCAC-171807	15017	18024	84357
nuclear-Ath-ValCAC-183758	11388	13935	63098
nuclear-Ath-ValTAC-171767	48566	47897	458259
nuclear-Ath-ValTAC-183729	2015	2209	14141
nuclear-Ath-ValTAC-183746	2532	2141	27414
nuclear-Ath-eMetCAT-171754	95924	107417	794739
nuclear-Ath-iMetCAT-171655	1299	1084	4780
nuclear-Ath-iMetCAT-171658	185	131	1069
nuclear-Ath-iMetCAT-171659	3536	3043	17709
nuclear-Ath-iMetCAT-183717	0	0	80
plastid-Ath-AlaTGC-171845	203492	189598	1097995
plastid-Ath-ArgACG-171847	173346	169770	637595
plastid-Ath-ArgTCT-171846	65053	39501	106916
plastid-Ath-AsnGTT-171848	309081	95304	289748
plastid-Ath-AspGTC-171849	137680	96536	340681
plastid-Ath-CysGCA-171850	117084	38417	92206
plastid-Ath-GlnTTG-171851	137805	60024	209352
plastid-Ath-GluTTC-171852	420972	186917	630354
plastid-Ath-GlyGCC-171853	63190	18030	88172
plastid-Ath-GlyTCC-171854	85857	33737	77325
plastid-Ath-HisGTG-171855	411185	208339	428413
plastid-Ath-IleCAT-171856	57520	49626	676368
plastid-Ath-IleGAT-171857	155898	170382	711193
plastid-Ath-LeuCAA-171859	86438	61055	192070
plastid-Ath-LeuTAA-171860	54454	36824	224785
plastid-Ath-LeuTAG-171858	155991	68438	134957
plastid-Ath-LysTTT-171861	28200	23851	98845
plastid-Ath-PheGAA-171864	101864	51467	228189
plastid-Ath-ProTGG-171865	32216	19260	25000
plastid-Ath-SerGCT-171868	49110	14530	49662
plastid-Ath-SerGGA-171866	61348	24810	95307
plastid-Ath-SerTGA-171867	102049	33906	74606
plastid-Ath-ThrGGT-171869	127980	59814	64219
plastid-Ath-ThrTGT-171870	79593	32974	38968
plastid-Ath-TrpCCA-171871	80463	57091	143367
plastid-Ath-TyrGTA-171872	290267	161696	557352
plastid-Ath-ValGAC-171873	11580	5282	9096
plastid-Ath-ValTAC-171874	31683	20627	29851
plastid-Ath-eMetCAT-171862	41049	28697	41375
plastid-Ath-iMetCAT-171863	13645	5959	37177
Total	11097141	8176452	36156665
