Isodecoder	Genome	Position	Library	EndType	Abundance
ValTAC	nuclear	1	MSR_At1a.bbmerge.map-pos-count.txt	CC	-0.720521075091712
ValTAC	nuclear	1	MSR_At1a.bbmerge.map-pos-count.txt	CCA	0.634126394052045
ValTAC	nuclear	1	MSR_At2a.bbmerge.map-pos-count.txt	CC	-0.725110842402257
ValTAC	nuclear	1	MSR_At2a.bbmerge.map-pos-count.txt	CCA	0.642818029041334
ValTAC	nuclear	1	MSR_At3a.bbmerge.map-pos-count.txt	CC	-0.69733374405312
ValTAC	nuclear	1	MSR_At3a.bbmerge.map-pos-count.txt	CCA	0.629040690075804
ValTAC	nuclear	2	MSR_At1a.bbmerge.map-pos-count.txt	CC	-0.00501609642883881
ValTAC	nuclear	2	MSR_At1a.bbmerge.map-pos-count.txt	CCA	0.00788104089219331
ValTAC	nuclear	2	MSR_At2a.bbmerge.map-pos-count.txt	CC	-0.00683288228632848
ValTAC	nuclear	2	MSR_At2a.bbmerge.map-pos-count.txt	CCA	0.00598576257104553
ValTAC	nuclear	2	MSR_At3a.bbmerge.map-pos-count.txt	CC	-0.00578430365882876
ValTAC	nuclear	2	MSR_At3a.bbmerge.map-pos-count.txt	CCA	0.00453080073189858
ValTAC	nuclear	3	MSR_At1a.bbmerge.map-pos-count.txt	CC	-0.00134760799580744
ValTAC	nuclear	3	MSR_At1a.bbmerge.map-pos-count.txt	CCA	0.0028996282527881
ValTAC	nuclear	3	MSR_At2a.bbmerge.map-pos-count.txt	CC	-0.0019961229151072
ValTAC	nuclear	3	MSR_At2a.bbmerge.map-pos-count.txt	CCA	0.00190713570875583
ValTAC	nuclear	3	MSR_At3a.bbmerge.map-pos-count.txt	CC	-0.00243009206968546
ValTAC	nuclear	3	MSR_At3a.bbmerge.map-pos-count.txt	CCA	0.00265748889082513
ValTAC	nuclear	4	MSR_At1a.bbmerge.map-pos-count.txt	CC	-0.00059893688702553
ValTAC	nuclear	4	MSR_At1a.bbmerge.map-pos-count.txt	CCA	0.000892193308550186
ValTAC	nuclear	4	MSR_At2a.bbmerge.map-pos-count.txt	CC	-0.00134354426978369
ValTAC	nuclear	4	MSR_At2a.bbmerge.map-pos-count.txt	CCA	0.00192601824052569
ValTAC	nuclear	4	MSR_At3a.bbmerge.map-pos-count.txt	CC	-0.00102679946606428
ValTAC	nuclear	4	MSR_At3a.bbmerge.map-pos-count.txt	CCA	0.00252679271586652
ValTAC	nuclear	5	MSR_At1a.bbmerge.map-pos-count.txt	CC	-0.00194654488283297
