Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	0	0	0
mitochondrial-Ath-AsnGTT-183766	3092	391	1890
mitochondrial-Ath-AspGTC-171828	1439	358	448
mitochondrial-Ath-CysGCA-171829	33123	6171	5942
mitochondrial-Ath-GlnTTG-171830	326	64	101
mitochondrial-Ath-GluTTC-171831	2391	521	765
mitochondrial-Ath-GlyGCC-171832	5646	818	1421
mitochondrial-Ath-HisGTG-171833	4016	518	820
mitochondrial-Ath-IleCAT-171837	800	139	441
mitochondrial-Ath-LysTTT-171834	1115	365	1543
mitochondrial-Ath-ProTGG-171838	1900	348	603
mitochondrial-Ath-SerGCT-171840	1459	515	1220
mitochondrial-Ath-SerGGA-171839	177	70	121
mitochondrial-Ath-SerTGA-171841	1562	423	438
mitochondrial-Ath-TrpCCA-171842	21925	4250	7185
mitochondrial-Ath-TyrGTA-171843	16	0	9
mitochondrial-Ath-TyrGTA-171844	4380	1160	3386
mitochondrial-Ath-eMetCAT-171836	405	64	96
mitochondrial-Ath-iMetCAT-171835	345	49	121
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-286836	2	2	13
mitochondrial-Ath-stemloop-309033	45	20	51
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-32129	285	54	55
mitochondrial-Ath-stemloop-358842	2	0	4
mitochondrial-Ath-stemloop-36709	70	7	95
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	52	11	41
mitochondrial-Ath-stemloop-c1924	19	3	122
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c333147	13	0	62
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	70289	34814	123600
nuclear-Ath-AlaAGC-171749	187166	97371	378714
nuclear-Ath-AlaAGC-183743	86846	46828	132404
nuclear-Ath-AlaCGC-171750	29876	12463	48430
nuclear-Ath-AlaCGC-171752	40016	15202	49310
nuclear-Ath-AlaCGC-183744	27896	12374	36451
nuclear-Ath-AlaTGC-171747	203411	102513	356639
nuclear-Ath-AlaTGC-171751	30280	16920	58576
nuclear-Ath-ArgACG-171679	4779	1642	2014
nuclear-Ath-ArgACG-171680	40009	10380	9515
nuclear-Ath-ArgACG-171681	14232	8074	4370
nuclear-Ath-ArgACG-171682	35718	17614	9221
nuclear-Ath-ArgACG-171683	23640	7560	7213
nuclear-Ath-ArgACG-171772	14511	4502	6631
nuclear-Ath-ArgCCG-171678	98344	25391	30082
nuclear-Ath-ArgCCG-171686	2481	943	2033
nuclear-Ath-ArgCCG-183763	1253	587	753
nuclear-Ath-ArgCCT-171715	4740	1525	2132
nuclear-Ath-ArgCCT-171716	75423	22906	26295
nuclear-Ath-ArgCCT-171719	17567	6076	10251
nuclear-Ath-ArgTCG-171676	112210	40444	46018
nuclear-Ath-ArgTCG-171677	64171	23324	22601
nuclear-Ath-ArgTCT-171693	11222	2257	7517
nuclear-Ath-ArgTCT-171694	41252	6751	28862
nuclear-Ath-ArgTCT-171695	15934	2626	8052
nuclear-Ath-ArgTCT-171696	4733	786	2919
nuclear-Ath-ArgTCT-171714	6455	1044	1897
nuclear-Ath-ArgTCT-171717	7110	1352	2811
nuclear-Ath-ArgTCT-183731	4	0	24
nuclear-Ath-AsnGTT-171725	2201	740	1397
nuclear-Ath-AsnGTT-171727	47267	12395	26244
nuclear-Ath-AsnGTT-171729	38388	9302	17655
nuclear-Ath-AsnGTT-183736	5856	1511	2679
nuclear-Ath-AsnGTT-183737	0	0	7
nuclear-Ath-AsnGTT-183738	13848	3714	7848
nuclear-Ath-AsnGTT-183739	7239	1951	3845
nuclear-Ath-AspGTC-171804	225447	68060	75312
nuclear-Ath-AspGTC-183754	51	11	9
nuclear-Ath-AspGTC-183755	0	1	4
nuclear-Ath-AspGTC-183756	23	13	8458
nuclear-Ath-AspGTC-183757	57	20	845
nuclear-Ath-CysGCA-171684	3789	498	689
nuclear-Ath-CysGCA-171742	843	144	471
nuclear-Ath-CysGCA-171756	1968	328	1012
nuclear-Ath-CysGCA-171757	1123	141	431
nuclear-Ath-CysGCA-171758	9295	1432	2908
nuclear-Ath-CysGCA-171759	2388	348	603
nuclear-Ath-CysGCA-171762	554	81	170
nuclear-Ath-CysGCA-183716	0	0	15
nuclear-Ath-CysGCA-183742	2287	310	461
nuclear-Ath-CysGCA-183745	467	40	58
nuclear-Ath-GlnCTG-171763	10895	1586	2081
nuclear-Ath-GlnCTG-171765	1903	336	457
nuclear-Ath-GlnCTG-171773	6512	1063	1516
nuclear-Ath-GlnCTG-171774	6136	960	1310
nuclear-Ath-GlnCTG-171775	46573	6292	12361
nuclear-Ath-GlnTTG-171777	19903	4501	6293
nuclear-Ath-GlnTTG-183749	6210	966	1414
nuclear-Ath-GluCTC-171821	4255	655	1335
nuclear-Ath-GluCTC-171824	5677	952	1612
nuclear-Ath-GluCTC-171825	981	125	311
nuclear-Ath-GluCTC-183765	0	0	270
nuclear-Ath-GluTTC-171820	89102	14146	25120
nuclear-Ath-GluTTC-171822	10925	1639	3397
nuclear-Ath-GluTTC-171826	3612	679	1432
nuclear-Ath-GluTTC-183764	2179	401	1088
nuclear-Ath-GlyCCC-171713	74771	30206	41926
nuclear-Ath-GlyGCC-171688	7559	1875	2722
nuclear-Ath-GlyGCC-171690	7601	1784	4415
nuclear-Ath-GlyGCC-171691	280622	68333	140896
nuclear-Ath-GlyGCC-171692	1765	534	838
nuclear-Ath-GlyGCC-183730	127	26	106
nuclear-Ath-GlyTCC-171720	85657	27483	29219
nuclear-Ath-HisGTG-171768	15424	5841	26478
nuclear-Ath-HisGTG-171770	2655	963	2808
nuclear-Ath-HisGTG-183747	3586	1406	4079
nuclear-Ath-HisGTG-183748	697	352	933
nuclear-Ath-IleAAT-171735	68908	27731	96738
nuclear-Ath-IleAAT-171736	76393	35391	128915
nuclear-Ath-IleTAT-171721	1422	429	810
nuclear-Ath-IleTAT-171764	2550	653	1901
nuclear-Ath-LeuAAG-171816	87755	32885	113487
nuclear-Ath-LeuAAG-171817	89281	33916	115655
nuclear-Ath-LeuCAA-171786	21765	9539	13994
nuclear-Ath-LeuCAA-171787	17647	6594	11696
nuclear-Ath-LeuCAA-171789	31583	10257	17665
nuclear-Ath-LeuCAA-171790	22610	6993	12248
nuclear-Ath-LeuCAA-183751	2238	877	1899
nuclear-Ath-LeuCAG-171781	34737	14921	29393
nuclear-Ath-LeuTAA-171698	15668	6029	11664
nuclear-Ath-LeuTAA-171699	17110	6553	12646
nuclear-Ath-LeuTAA-171791	10376	5145	5311
nuclear-Ath-LeuTAG-171673	56860	25403	69258
nuclear-Ath-LeuTAG-171675	57287	27556	52983
nuclear-Ath-LeuTAG-171685	44601	21443	45845
nuclear-Ath-LysCTT-171703	13851	3256	5572
