Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	0	0	0
mitochondrial-Ath-AsnGTT-183766	3087	390	771
mitochondrial-Ath-AspGTC-171828	1000	261	330
mitochondrial-Ath-CysGCA-171829	33123	6171	5942
mitochondrial-Ath-GlnTTG-171830	326	64	101
mitochondrial-Ath-GluTTC-171831	2391	521	765
mitochondrial-Ath-GlyGCC-171832	5646	818	1421
mitochondrial-Ath-HisGTG-171833	4016	518	820
mitochondrial-Ath-IleCAT-171837	800	139	441
mitochondrial-Ath-LysTTT-171834	1115	365	1543
mitochondrial-Ath-ProTGG-171838	1900	348	603
mitochondrial-Ath-SerGCT-171840	1459	515	1220
mitochondrial-Ath-SerGGA-171839	143	54	100
mitochondrial-Ath-SerTGA-171841	1562	423	438
mitochondrial-Ath-TrpCCA-171842	83	25	58
mitochondrial-Ath-TyrGTA-171843	16	0	9
mitochondrial-Ath-TyrGTA-171844	4380	1160	3386
mitochondrial-Ath-eMetCAT-171836	405	64	96
mitochondrial-Ath-iMetCAT-171835	345	49	121
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-286836	2	2	13
mitochondrial-Ath-stemloop-309033	45	20	51
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-32129	285	54	55
mitochondrial-Ath-stemloop-358842	2	0	4
mitochondrial-Ath-stemloop-36709	70	7	95
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	52	11	41
mitochondrial-Ath-stemloop-c1924	19	3	122
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c333147	13	0	62
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	70236	34787	123362
nuclear-Ath-AlaAGC-171749	111258	55963	274142
nuclear-Ath-AlaAGC-183743	11475	5564	27711
nuclear-Ath-AlaCGC-171750	29759	12426	48280
nuclear-Ath-AlaCGC-171752	35466	13835	47506
nuclear-Ath-AlaCGC-183744	23459	10997	34633
nuclear-Ath-AlaTGC-171747	203304	102487	356475
nuclear-Ath-AlaTGC-171751	30271	16919	58548
nuclear-Ath-ArgACG-171679	4736	1620	1855
nuclear-Ath-ArgACG-171680	39967	10359	9329
nuclear-Ath-ArgACG-171681	14206	8061	4338
nuclear-Ath-ArgACG-171682	35708	17609	9197
nuclear-Ath-ArgACG-171683	23625	7555	7199
nuclear-Ath-ArgACG-171772	14507	4501	6606
nuclear-Ath-ArgCCG-171678	98343	25391	30082
nuclear-Ath-ArgCCG-171686	2481	943	2033
nuclear-Ath-ArgCCG-183763	1250	587	753
nuclear-Ath-ArgCCT-171715	4740	1525	2117
nuclear-Ath-ArgCCT-171716	75415	22902	26165
nuclear-Ath-ArgCCT-171719	17557	6069	10145
nuclear-Ath-ArgTCG-171676	112182	40437	46003
nuclear-Ath-ArgTCG-171677	64135	23313	22589
nuclear-Ath-ArgTCT-171693	9928	2031	6573
nuclear-Ath-ArgTCT-171694	39979	6516	27780
nuclear-Ath-ArgTCT-171695	15923	2625	8015
nuclear-Ath-ArgTCT-171696	4718	784	2785
nuclear-Ath-ArgTCT-171714	6440	1043	1890
nuclear-Ath-ArgTCT-171717	7110	1352	2811
nuclear-Ath-ArgTCT-183731	0	0	0
nuclear-Ath-AsnGTT-171725	2157	726	1349
nuclear-Ath-AsnGTT-171727	47166	12375	26051
nuclear-Ath-AsnGTT-171729	38386	9302	17502
nuclear-Ath-AsnGTT-183736	5822	1503	2657
nuclear-Ath-AsnGTT-183737	0	0	7
nuclear-Ath-AsnGTT-183738	13784	3698	7683
nuclear-Ath-AsnGTT-183739	7237	1950	3679
nuclear-Ath-AspGTC-171804	225364	68033	65810
nuclear-Ath-AspGTC-183754	1	0	0
nuclear-Ath-AspGTC-183755	0	0	0
nuclear-Ath-AspGTC-183756	4	7	4
nuclear-Ath-AspGTC-183757	41	15	24
nuclear-Ath-CysGCA-171684	3787	498	686
nuclear-Ath-CysGCA-171742	842	144	468
nuclear-Ath-CysGCA-171756	1555	289	932
nuclear-Ath-CysGCA-171757	1122	140	431
nuclear-Ath-CysGCA-171758	9290	1432	2899
nuclear-Ath-CysGCA-171759	2388	348	602
nuclear-Ath-CysGCA-171762	154	25	114
nuclear-Ath-CysGCA-183716	0	0	4
nuclear-Ath-CysGCA-183742	2287	309	460
nuclear-Ath-CysGCA-183745	2	1	15
nuclear-Ath-GlnCTG-171763	10886	1579	2054
nuclear-Ath-GlnCTG-171765	1897	335	437
nuclear-Ath-GlnCTG-171773	6511	1061	1516
nuclear-Ath-GlnCTG-171774	6129	958	1289
nuclear-Ath-GlnCTG-171775	46572	6292	12350
nuclear-Ath-GlnTTG-171777	19903	4501	6293
nuclear-Ath-GlnTTG-183749	6210	966	1413
nuclear-Ath-GluCTC-171821	4252	654	1332
nuclear-Ath-GluCTC-171824	5385	922	1366
nuclear-Ath-GluCTC-171825	680	98	278
nuclear-Ath-GluCTC-183765	0	0	4
nuclear-Ath-GluTTC-171820	89068	14144	25089
nuclear-Ath-GluTTC-171822	10908	1639	3371
nuclear-Ath-GluTTC-171826	3594	679	1394
nuclear-Ath-GluTTC-183764	2174	401	1061
nuclear-Ath-GlyCCC-171713	74771	30206	41926
nuclear-Ath-GlyGCC-171688	7364	1827	2563
nuclear-Ath-GlyGCC-171690	6939	1646	3399
nuclear-Ath-GlyGCC-171691	278874	67841	139346
nuclear-Ath-GlyGCC-171692	527	160	306
nuclear-Ath-GlyGCC-183730	126	26	68
nuclear-Ath-GlyTCC-171720	85657	27483	29219
nuclear-Ath-HisGTG-171768	14529	5567	26178
nuclear-Ath-HisGTG-171770	1742	665	2510
nuclear-Ath-HisGTG-183747	3586	1406	4078
nuclear-Ath-HisGTG-183748	697	352	933
nuclear-Ath-IleAAT-171735	68908	27731	96735
nuclear-Ath-IleAAT-171736	76393	35391	128909
nuclear-Ath-IleTAT-171721	1422	428	805
nuclear-Ath-IleTAT-171764	2550	653	1897
nuclear-Ath-LeuAAG-171816	1447	461	1412
nuclear-Ath-LeuAAG-171817	2908	1270	3284
nuclear-Ath-LeuCAA-171786	21746	9522	13682
nuclear-Ath-LeuCAA-171787	17625	6589	11385
nuclear-Ath-LeuCAA-171789	31569	10248	17639
nuclear-Ath-LeuCAA-171790	22606	6989	12236
nuclear-Ath-LeuCAA-183751	2229	871	1627
nuclear-Ath-LeuCAG-171781	34704	14911	29359
nuclear-Ath-LeuTAA-171698	3718	1738	2623
nuclear-Ath-LeuTAA-171699	5423	2262	3623
nuclear-Ath-LeuTAA-171791	10376	5143	5310
nuclear-Ath-LeuTAG-171673	56838	25395	69223
nuclear-Ath-LeuTAG-171675	14366	7252	9779
nuclear-Ath-LeuTAG-171685	1899	1076	2384
nuclear-Ath-LysCTT-171703	12126	2809	4691
nuclear-Ath-LysCTT-171704	183334	36299	40289
nuclear-Ath-LysCTT-183733	57	65	37
nuclear-Ath-LysTTT-171707	279	58	82
nuclear-Ath-LysTTT-171712	14300	2345	2394
nuclear-Ath-LysTTT-183734	171	42	42
nuclear-Ath-LysTTT-183735	13	10	26
nuclear-Ath-PheGAA-171718	114556	61498	88299
nuclear-Ath-ProAGG-171737	19291	2923	6530
nuclear-Ath-ProAGG-171738	5008	757	1568
nuclear-Ath-ProAGG-171743	8246	1281	2712
nuclear-Ath-ProCGG-171739	173	33	57
nuclear-Ath-ProCGG-171760	9408	1362	4536
nuclear-Ath-ProCGG-171761	15311	2360	7070
nuclear-Ath-ProTGG-171741	10219	1584	3339
nuclear-Ath-ProTGG-171744	22969	3969	9147
nuclear-Ath-ProTGG-183741	1	0	5
nuclear-Ath-SerAGA-171812	5065	2536	22064
nuclear-Ath-SerAGA-171813	22193	10082	80473
nuclear-Ath-SerAGA-171814	97	108	133
nuclear-Ath-SerAGA-171815	205	69	544
nuclear-Ath-SerAGA-183750	3785	1225	2157
nuclear-Ath-SerAGA-183759	0	0	3
nuclear-Ath-SerAGA-183760	0	0	0
nuclear-Ath-SerAGA-183761	0	0	0
nuclear-Ath-SerAGA-183762	38	15	110
nuclear-Ath-SerCGA-171782	3745	2204	4413
nuclear-Ath-SerCGA-171785	15794	8760	15531
nuclear-Ath-SerCGA-171794	10169	5489	9094
nuclear-Ath-SerGCT-171796	4569	1571	1927
nuclear-Ath-SerGCT-171797	8084	2579	2563
nuclear-Ath-SerGCT-171798	17658	5935	6815
nuclear-Ath-SerGCT-171800	3279	988	1415
nuclear-Ath-SerGCT-183728	3902	1020	1494
nuclear-Ath-SerGCT-183752	2862	1035	1333
nuclear-Ath-SerGCT-183753	0	0	1
nuclear-Ath-SerTGA-171783	5310	3988	4907
nuclear-Ath-SerTGA-171784	3148	2202	3211
nuclear-Ath-SerTGA-171792	8158	6593	11134
nuclear-Ath-SerTGA-171793	3239	1955	3129
nuclear-Ath-ThrAGT-171722	6453	3441	5523
nuclear-Ath-ThrAGT-171723	14266	5005	5474
nuclear-Ath-ThrAGT-171731	13847	4644	5434
nuclear-Ath-ThrCGT-171709	27665	7025	5675
nuclear-Ath-ThrCGT-171710	17626	4514	3764
nuclear-Ath-ThrCGT-171711	2218	660	513
nuclear-Ath-ThrTGT-171700	81946	36538	58491
nuclear-Ath-ThrTGT-171705	11367	5244	10862
nuclear-Ath-ThrTGT-183732	0	5	13
nuclear-Ath-TrpCCA-171732	44254	22110	87818
nuclear-Ath-TrpCCA-171734	2075	1020	3710
nuclear-Ath-TrpCCA-183740	16	6	7
nuclear-Ath-TyrGTA-171663	59656	8754	16624
nuclear-Ath-TyrGTA-171666	12	0	2
nuclear-Ath-TyrGTA-171668	0	0	0
nuclear-Ath-TyrGTA-183718	0	0	0
nuclear-Ath-TyrGTA-183719	2267	271	632
nuclear-Ath-TyrGTA-183720	0	0	2
nuclear-Ath-TyrGTA-183721	0	0	0
nuclear-Ath-TyrGTA-183722	0	0	0
nuclear-Ath-TyrGTA-183723	0	0	0
nuclear-Ath-TyrGTA-183724	0	0	0
nuclear-Ath-TyrGTA-183725	0	0	0
nuclear-Ath-TyrGTA-183726	0	0	0
nuclear-Ath-TyrGTA-183727	0	0	0
nuclear-Ath-ValAAC-171778	9	3	22
nuclear-Ath-ValAAC-171779	44896	22301	90294
nuclear-Ath-ValCAC-171807	1712	757	3186
nuclear-Ath-ValCAC-183758	288	150	772
nuclear-Ath-ValTAC-171767	31659	12634	78828
nuclear-Ath-ValTAC-183729	756	476	2044
nuclear-Ath-ValTAC-183746	701	275	1953
nuclear-Ath-eMetCAT-171754	107655	42873	95086
nuclear-Ath-iMetCAT-171655	277	98	707
nuclear-Ath-iMetCAT-171658	106	28	84
nuclear-Ath-iMetCAT-171659	1066	451	1926
nuclear-Ath-iMetCAT-183717	0	0	6
plastid-Ath-AlaTGC-171845	100615	47378	148100
plastid-Ath-ArgACG-171847	129699	45706	66065
plastid-Ath-ArgTCT-171846	30986	7743	8672
plastid-Ath-AsnGTT-171848	143201	20179	36444
plastid-Ath-AspGTC-171849	20836	5325	8396
plastid-Ath-CysGCA-171850	64621	6130	9168
plastid-Ath-GlnTTG-171851	56890	12669	24433
plastid-Ath-GluTTC-171852	249869	38399	65529
plastid-Ath-GlyGCC-171853	18533	1825	3732
plastid-Ath-GlyTCC-171854	25253	2605	3257
plastid-Ath-HisGTG-171855	104623	12841	21607
plastid-Ath-IleCAT-171856	25391	8808	62872
plastid-Ath-IleGAT-171857	26760	10296	31569
plastid-Ath-LeuCAA-171859	56581	17563	26105
plastid-Ath-LeuTAA-171860	5699	1558	18560
plastid-Ath-LeuTAG-171858	74422	20538	25443
plastid-Ath-LysTTT-171861	11915	3456	6544
plastid-Ath-PheGAA-171864	98106	24466	39825
plastid-Ath-ProTGG-171865	8493	1709	2046
plastid-Ath-SerGCT-171868	9378	1835	4824
plastid-Ath-SerGGA-171866	28997	9626	22445
plastid-Ath-SerTGA-171867	43098	5873	8583
plastid-Ath-ThrGGT-171869	31871	5027	5789
plastid-Ath-ThrTGT-171870	22487	3208	3820
plastid-Ath-TrpCCA-171871	5127	1160	1177
plastid-Ath-TyrGTA-171872	79125	14913	18906
plastid-Ath-ValGAC-171873	5605	938	1719
plastid-Ath-ValTAC-171874	23269	4844	8171
plastid-Ath-eMetCAT-171862	12519	2844	3041
plastid-Ath-iMetCAT-171863	10027	1926	9933
Total	5131111	1576736	3590094
