Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	0	0	0
mitochondrial-Ath-AsnGTT-183766	215	19069	56149
mitochondrial-Ath-AspGTC-171828	1502	12795	39832
mitochondrial-Ath-CysGCA-171829	2089	19400	24542
mitochondrial-Ath-GlnTTG-171830	114	1075	2674
mitochondrial-Ath-GluTTC-171831	291	8848	36573
mitochondrial-Ath-GlyGCC-171832	300	3600	8828
mitochondrial-Ath-HisGTG-171833	2716	8224	19221
mitochondrial-Ath-IleCAT-171837	318	380	2334
mitochondrial-Ath-LysTTT-171834	123	1274	11014
mitochondrial-Ath-ProTGG-171838	5	1867	11897
mitochondrial-Ath-SerGCT-171840	846	1948	4014
mitochondrial-Ath-SerGGA-171839	200	536	2001
mitochondrial-Ath-SerTGA-171841	1053	2377	3813
mitochondrial-Ath-TrpCCA-171842	9738	52538	144700
mitochondrial-Ath-TyrGTA-171843	0	24	134
mitochondrial-Ath-TyrGTA-171844	756	2601	18424
mitochondrial-Ath-eMetCAT-171836	133	1214	1895
mitochondrial-Ath-iMetCAT-171835	98	873	2246
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	3
mitochondrial-Ath-stemloop-286836	0	28	64
mitochondrial-Ath-stemloop-309033	0	47	217
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-32129	0	425	1071
mitochondrial-Ath-stemloop-358842	0	4	40
mitochondrial-Ath-stemloop-36709	11	422	1280
mitochondrial-Ath-stemloop-49221	0	0	3
mitochondrial-Ath-stemloop-c116660	3	61	430
mitochondrial-Ath-stemloop-c1924	0	43	991
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c333147	0	38	468
mitochondrial-Ath-stemloop-c83962	0	0	0
nuclear-Ath-AlaAGC-171748	232	34618	363785
nuclear-Ath-AlaAGC-171749	580	78609	950830
nuclear-Ath-AlaAGC-183743	371	39824	356096
nuclear-Ath-AlaCGC-171750	102	17051	222899
nuclear-Ath-AlaCGC-171752	197	30791	345410
nuclear-Ath-AlaCGC-183744	86	13835	126092
nuclear-Ath-AlaTGC-171747	611	84358	1075108
nuclear-Ath-AlaTGC-171751	128	14136	172911
nuclear-Ath-ArgACG-171679	104	1831	9296
nuclear-Ath-ArgACG-171680	560	10199	53421
nuclear-Ath-ArgACG-171681	414	7721	20753
nuclear-Ath-ArgACG-171682	973	17092	52339
nuclear-Ath-ArgACG-171683	337	6403	44126
nuclear-Ath-ArgACG-171772	220	6454	42804
nuclear-Ath-ArgCCG-171678	2879	77723	149249
nuclear-Ath-ArgCCG-171686	141	3885	17090
nuclear-Ath-ArgCCG-183763	59	964	3802
nuclear-Ath-ArgCCT-171715	22	5770	17558
nuclear-Ath-ArgCCT-171716	553	89731	281604
nuclear-Ath-ArgCCT-171719	423	17176	72657
nuclear-Ath-ArgTCG-171676	1889	85536	223982
nuclear-Ath-ArgTCG-171677	1034	65967	131942
nuclear-Ath-ArgTCT-171693	436	8003	48037
nuclear-Ath-ArgTCT-171694	1291	25374	192570
nuclear-Ath-ArgTCT-171695	576	19732	107200
nuclear-Ath-ArgTCT-171696	222	6153	34745
nuclear-Ath-ArgTCT-171714	356	13845	46560
nuclear-Ath-ArgTCT-171717	226	6277	24083
nuclear-Ath-ArgTCT-183731	0	32	223
nuclear-Ath-AsnGTT-171725	14	1933	11579
nuclear-Ath-AsnGTT-171727	277	25348	164006
nuclear-Ath-AsnGTT-171729	445	25196	200092
nuclear-Ath-AsnGTT-183736	43	3524	17531
nuclear-Ath-AsnGTT-183737	0	8	23
nuclear-Ath-AsnGTT-183738	66	6319	36736
nuclear-Ath-AsnGTT-183739	83	4084	36923
nuclear-Ath-AspGTC-171804	44410	300390	662148
nuclear-Ath-AspGTC-183754	13	43	93
nuclear-Ath-AspGTC-183755	0	5	32
nuclear-Ath-AspGTC-183756	11	64	30406
nuclear-Ath-AspGTC-183757	17	115	2876
nuclear-Ath-CysGCA-171684	932	5156	7807
nuclear-Ath-CysGCA-171742	207	953	1640
nuclear-Ath-CysGCA-171756	361	1747	4641
nuclear-Ath-CysGCA-171757	205	759	1814
nuclear-Ath-CysGCA-171758	1568	7948	15601
nuclear-Ath-CysGCA-171759	552	2023	2499
nuclear-Ath-CysGCA-171762	153	608	1076
nuclear-Ath-CysGCA-183716	0	0	180
nuclear-Ath-CysGCA-183742	468	2409	3931
nuclear-Ath-CysGCA-183745	115	475	718
nuclear-Ath-GlnCTG-171763	966	11656	17510
nuclear-Ath-GlnCTG-171765	338	4576	8727
nuclear-Ath-GlnCTG-171773	924	11322	17465
nuclear-Ath-GlnCTG-171774	741	8442	12580
nuclear-Ath-GlnCTG-171775	9632	126078	165016
nuclear-Ath-GlnTTG-171777	3455	68357	181407
nuclear-Ath-GlnTTG-183749	1252	30520	55133
nuclear-Ath-GluCTC-171821	2908	23765	51110
nuclear-Ath-GluCTC-171824	7136	60395	124577
nuclear-Ath-GluCTC-171825	1298	11106	20021
nuclear-Ath-GluCTC-183765	43	194	1207
nuclear-Ath-GluTTC-171820	8228	68851	213153
nuclear-Ath-GluTTC-171822	1404	10781	32748
nuclear-Ath-GluTTC-171826	490	3576	11740
nuclear-Ath-GluTTC-183764	365	3092	13852
nuclear-Ath-GlyCCC-171713	1511	73556	225519
nuclear-Ath-GlyGCC-171688	187	6285	26673
nuclear-Ath-GlyGCC-171690	844	18443	105397
nuclear-Ath-GlyGCC-171691	6778	187047	1000826
nuclear-Ath-GlyGCC-171692	124	3407	7180
nuclear-Ath-GlyGCC-183730	0	164	601
nuclear-Ath-GlyTCC-171720	1261	64928	318945
